#,单词,音标,解释,笔记
340,"dub","英:/dʌb/ 美:/dʌb/","- vt. [电影]配音；授予称号；轻点；打击
- n. 笨蛋；鼓声


时 态:  
dubbed, dubbing, dubs 

名 词:  
dubber",
341,"dull","英:/dʌl/ 美:/dʌl/","- adj. 钝的；呆滞的；阴暗的；迟钝的；无趣的
- vt. 使阴暗；缓和；使迟钝
- vi. 变迟钝；减少


比较级:  
duller, dullest 

形容词:  
dullish

副 词:  
dully",
342,"eccentric","英:/ɪk'sentrɪk/ 美:/ɪk'sɛntrɪk/","adj. 古怪的，怪癖的；异乎寻常的

副 词:  
eccentrically",
343,"eligible","英:/'elɪdʒɪb(ə)l/ 美:/'ɛlɪdʒəbl/","- adj. 有资格当选的, 有条件被选中的
- 合适的, 适当的

名 词:  
eligibility

名 词:  
eligible

副 词:  
eligibly",
344,"empathy","英:/'empəθɪ/ 美:/'ɛmpəθi/","n. 移情作用;同感;共鸣",
345,"expertise","英:/ˌekspɜː'tiːz/ 美:/'ɛkspɝ'tiz/","n. 专门知识或技能",
346,"fiction","英:/'fɪkʃ(ə)n/ 美:/'fɪkʃən/","- n. 小说
- 虚构的或想像出的事, 并非完全真实的事

形容词:  
fictional

副 词:  
fictionally",
347,"folk","英:/fəʊk/ 美:/fok/","- n. 人们；民族；亲属（复数）
- adj. 民间的",
348,"fountain","英:/'faʊntɪn/ 美:/'faʊntn/","n. 喷泉，泉水；源泉


时 态:  
fountained, fountaining, fountains",
349,"friction","英:/'frɪkʃ(ə)n/ 美:/'frɪkʃən/","n. 摩擦，摩擦力


形容词:  
frictional",
350,"funeral","英:/'fjuːn(ə)r(ə)l/ 美:/ˈfjunərəl/","- n. 葬礼；[口]麻烦事
- adj. 丧葬的，出殡的",
351,"furious","英:/'fjʊərɪəs/ 美:/'fjʊrɪəs/","- adj. 狂怒的, 暴怒的
- 强烈的, 激烈的

副 词:  
furiously",
352,"genre","英:/'ʒɒŋrə/ 美:/'ʒɑnrə/","- n. 类型；流派；风俗画
- adj. 风俗画的；以日常情景为主题的",
353,"geographical","英:/dʒɪə'græfɪk(ə)l/ 美:/dʒɪə'græfɪkl/","adj. 地理学的,地理的",
354,"hazard","英:/ˈhæzəd/ 美:/ˈhæzəd/","- vt. 尝试着做[提出]
- 冒风险
- n. 危险；公害
Hazard哈泽德(姓氏)

时 态:  
hazarded，hazarding，hazards",
355,"hedge","英:/hedʒ/ 美:/hɛdʒ/","- vt. 用树篱笆围住；避免作正面答复
- vi. 用树篱围住；避免作正面答复
- n. 树篱；障碍


时 态:  
hedged, hedging, hedges 

名 词:  
hedger

形容词:  
hedgy",
356,"hesitate","英:/'hezɪteɪt/ 美:/'hɛzɪtet/","- vi. 踌躇，犹豫；不愿
- vt. 踌躇，犹豫；有疑虑，不愿意


时 态:  
hesitated, hesitating, hesitates 

副 词:  
hesitatingly",
357,"hike","英:/haɪk/ 美:/haɪk/","- n. (在乡间)徒步旅行
- 〈口〉(数量、价格等)增加, 上升
- vi. 徒步旅行
- vt. 〈口〉提高(价格等)

时 态:  
hiked, hiking, hikes 

名 词:  
hiker",
358,"humanity","英:/hjʊ'mænɪtɪ/ 美:/hjʊ'mænəti/","n. 人类；人道；仁慈；人文学科",
359,"hybrid","英:/'haɪbrɪd/ 美:/'haɪbrɪd/","- n. 混合物；杂种，混血儿
- adj. 杂种的；混合的


名 词:  
hybridism

名 词:  
hybridist

名 词:  
hybridity",
360,"illusion","英:/ɪ'l(j)uːʒ(ə)n/ 美:/ɪ'luʒn/","- n. 错觉, 幻想, 错误观念
- 假象

形容词:  
illusionless",
361,"impulse","英:/'ɪmpʌls/ 美:/'ɪmpʌls/","- n. 冲动；脉冲；刺激；推动力；神经冲动
- vt. 推动",
362,"incorporate","英:/ɪn'kɔːpəreɪt/ 美:/ɪnˈkɔrpəˌret/","- vt. 包含, 加上, 吸收
- 把…合并, 使并入
- 组成公司

时 态:  
incorporated, incorporating, incorporates 

形容词:  
incorporable

名 词:  
incorporation

形容词:  
incorporative

名 词:  
incorporator",
363,"indefinite","英:/ɪn'defɪnɪt/ 美:/ɪn'dɛfɪnət/","- adj. 无限期的
- 不明确的, 含糊的

副 词:  
indefinitely",
364,"inflatable","英:/ɪn'fleɪtəb(ə)l/ 美:/ɪn'fletəbl/","adj. 必须充气才能使用的; 可充气的",
365,"inhabitant","英:/ɪn'hæbɪt(ə)nt/ 美:/ɪn'hæbɪtənt/","n. 居民，住户；(栖息在某地区的)动物",
366,"inherit","英:/ɪn'herɪt/ 美:/ɪn'hɛrɪt/","- vt. 继承；遗传而得
- vi. 成为继承人


时 态:  
inherited, inheriting, inherits 

名 词:  
inheritor",
367,"insane","英:/ɪn'seɪn/ 美:/ɪn'sen/","adj. 精神病的；极愚蠢的；疯狂的


副 词:  
insanely

名 词:  
insaneness",
368,"interact","英:/ɪntər'ækt/ 美:/ˌɪntɚ'ækt/","vi. 相互作用[影响], 互相配合

时 态:  
interacted, interacting, interacts",
369,"intriguing","/ɪnˈtri:gɪŋ/","adj. 引起好奇心的;令人感兴趣的;有迷惑力的",
370,"ironic","英:/aɪˈrɔnɪk/ 美:/aɪ'rɑnɪk/","adj. 讽刺的；反话的


副 词:  
ironically",
371,"jealous","英:/'dʒeləs/ 美:/'dʒɛləs/","- adj. 妒忌的，猜疑的
- 妒羡的；羡慕的
- 精心守护的，珍惜的

副 词:  
jealously

名 词:  
jealousness",
372,"Jealousy","英:/'dʒeləsɪ/ 美:/'dʒɛləsi/","- n. 妒忌
- 妒羡",
373,"legislation","英:/ledʒɪs'leɪʃ(ə)n/ 美:/ˌlɛdʒɪs'leʃən/","- n. 法律；法规
- 立法，法律的制定[通过]",
374,"Lid","英:/lɪd/ 美:/lɪd/","n. 盖, 盖子

时 态:  
lidded, lidding, lids",
375,"limb","英:/lɪm/ 美:/lɪm/","- n. 肢，臂；枝干；分支
- vt. 切断…的手足；从…上截下树枝


时 态:  
limbed, limbing, limbs",
376,"liver","英:/'lɪvə/ 美:/'lɪvɚ/","n. 肝脏；生活者，居民",
377,"lotus","英:/'ləʊtəs/ 美:/'lotəs/","n. 莲, 莲花
Lotusn. 美国Lotus公司，其著名产品有Lotus Notes和Lotus 1-2-3等莲",
378,"magnificent","英:/mæg'nɪfɪs(ə)nt/ 美:/mæg'nɪfəsnt/","adj. 壮丽的, 伟大的, 华丽的, 高贵的

副 词:  
magnificently",
379,"maid","英:/meɪd/ 美:/med/","- n. 女仆；少女
- vt. 侍候；做新娘的女傧相
- vi. 当女仆",
380,"mandatory","英:/'mændət(ə)rɪ/ 美:/'mændətɔri/","adj. 命令的;强制的;义务的",
381,"margin","英:/'mɑːdʒɪn/ 美:/'mɑrdʒən/","n. 页边缘；利润，余裕；页边的空白
 vt. 加边于；加旁注于

时 态:  
margined, margining, margins",
382,"meerkat","英:/'miəkæt/ 美:/ˈmɪrˌkɑt/","n. (南非)海岛猫鼬,蒙哥",
383,"muscular","英:/'mʌskjʊlə/ 美:/'mʌskjəlɚ/","- adj. (有关)肌(肉)的
- 肌肉发达的, 强壮的

名 词:  
muscularity",
384,"narrative","英:/'nærətɪv/ 美:/'nærətɪv/","- n. 记叙文；故事
- 叙述，讲述；叙述部分
- adj. 叙述的；叙事体的

副 词:  
narratively",
385,"nonsense","英:/'nɒns(ə)ns/ 美:/'nɑnsɛns/","- n. 胡说; 废话
- 愚蠢的行为; 无聊的事物",
386,"notably","英:/ˈnəʊtəblɪ/ 美:/'notəbli/","adv. 显著地；尤其",
387,"nutrient","英:/'njuːtrɪənt/ 美:/'nutrɪənt/","- n. (食品或化学品)营养物, 营养品
- adj. 营养物的, 营养品的",
388,"nutrition","英:/njʊ'trɪʃ(ə)n/ 美:/nu'trɪʃən/","n. 营养

形容词:  
nutritional

副 词:  
nutritionally",
389,"obscure","英:/əb'skjʊə/ 美:/əb'skjʊr/","- adj. 模糊的；晦涩的；昏暗的
- vt. 遮掩；使变暗；使难理解


比较级:  
obscurer, obscurest 
缩 写:  
obs",
390,"orbit","英:/'ɔːbɪt/ 美:/'ɔrbɪt/","- n. 轨道；眼眶；势力范围；生活常规
- vi. 盘旋；绕轨道运行
- vt. 绕…轨道而行


时 态:  
orbited, orbiting, orbits",
391,"orca","英:/'ɔ:kə/ 美:/ˈɔrkə/","n. 逆戟鲸（等于Orcinus orca）；类逆戟鲸；兽人；魔鬼",
392,"orchestration","英:/ˌɔːkɪˈstreɪʃn/ 美:/ˌɔkɛs'treʃən/","n. 管弦乐编曲；和谐的结合",
393,"organ","英:/'ɔːg(ə)n/ 美:/'ɔrɡən/","n. 风琴；器官；机构；管风琴；嗓音",
394,"oval","英:/'əʊv(ə)l/ 美:/'ovl/","- adj. 卵形的；椭圆的
- n. 椭圆形；卵形


副 词:  
ovally",
395,"overcome","英:/əʊvə'kʌm/ 美:/ˌovɚ'kʌm/","- vt. & vi. 战胜；克服
- vt. 被(烟、感情等)熏[压]倒，使受不了

时 态:  
overcame 
overcome，overcoming，overcomes",
396,"overwhelming","英:/ˌəuvəˈhwelmiŋ/ 美:/ˌovɚˈhwɛlmɪŋ/","adj. 势不可挡的，压倒一切的；巨大的

副 词:  
overwhelmingly",
397,"paradise","英:/'pærədaɪs/ 美:/'pærə'daɪs/","n. 天堂


形容词:  
paradisiacal",
398,"passionate","英:/'pæʃ(ə)nət/ 美:/'pæʃənət/","- adj. 多情的
- 表现[充满]激情的，激昂的
- 热切的；强烈的

副 词:  
passionately",
399,"persistent","英:/pə'sɪst(ə)nt/ 美:/pə'zɪstənt/","adj. 持续的; 不断的

副 词:  
persistently",
400,"pesticide","英:/'pestɪsaɪd/ 美:/'pɛstɪsaɪd/","n. 杀虫剂

形容词:  
pesticidal",
401,"plead","英:/pliːd/ 美:/plid/","- vi. 恳求，请求
- vt. 提出…为借口[理由]
- vt. & vi. 申诉；答辩；为…辩护

时 态:  
pleaded，pled  
pleading，pleads 

形容词:  
pleadable

名 词:  
pleader

副 词:  
pleadingly",
402,"pleasant","英:/'plez(ə)nt/ 美:/'plɛznt/","- adj. 令人愉快的，舒适的
- 可爱的；友善的
- 晴朗的

比较级:  
pleasanter，pleasantest 

副 词:  
pleasantly",
403,"portion","英:/'pɔːʃ(ə)n/ 美:/'pɔrʃən/","n.  部分；一份；命运
vt. 分配；给…嫁妆

时 态:  
portioned, portioning, portions 

名 词:  
portioner

形容词:  
portionless",
404,"potentially","英:/pəˈtenʃəlɪ/ 美:/pə'tɛnʃəli/","- adv. 潜在地;可能地
- 强有力地;权威地",
405,"prejudice","英:/'predʒʊdɪs/ 美:/'prɛdʒədɪs/","- n. 成见, 偏见, 歧视
- vt. 使有偏见
- 不利于, 损害

时 态:  
prejudiced, prejudicing, prejudices",
406,"premise","英:/'premɪs/ 美:/ˈprɛmɪs/","- vt. 引出，预先提出；作为…的前提
- n. 前提；上述各项；房屋连地基
- vi. 作出前提


时 态:  
premised, premising, premises",
407,"presenter","英:/prɪˈzentə/ 美:/prɪ'zɛntɚ/","n. 节目主持人,演播员",
408,"prey","英:/preɪ/ 美:/pre/","- vi. 捕食；掠夺；折磨
- n. 牺牲者；被捕食的动物；捕食

Prey普雷

时 态:  
preyed, preying, preys 

名 词:  
preyer",
409,"pride","英:/praɪd/ 美:/praɪd/","- n. 骄傲；自豪；自尊心
- vt. 使得意，以…自豪
- vi. 自豪

Pride普赖德(姓氏)

时 态:  
prided, priding, prides",
410,"priest","英:/priːst/ 美:/prist/","- n. 牧师；神父；教士
- vt. 使成为神职人员；任命…为祭司


时 态:  
priested, priesting, priests",
411,"propaganda","英:/prɒpə'gændə/ 美:/'prɑpə'gændə/","n. 宣传, 宣传运动

名 词:  
propagandism

名 词:  
propagandist

形容词:  
propagandistic",
412,"propagate","英:/'prɒpəgeɪt/ 美:/'prɑpə'get/","- vt. & vi. 繁衍，增殖
- vt. 传播；宣传，普及

时 态:  
propagated，propagating，propagates 

形容词:  
propagable

名 词:  
propagator",
413,"prostitute","英:/'prɒstɪtjuːt/ 美:/'prɑstətut/","n. 卖淫者；妓女；男妓

时 态:  
prostituted，prostituting，prostitutes",
414,"provision","英:/prə'vɪʒ(ə)n/ 美:/prə'vɪʒn/","n. 规定；条款；准备；[经] 供应品
vt. 供给…食物及必需品

时 态:  
provisioned, provisioning, provisions 

名 词:  
provisioner",
415,"provoke","英:/prə'vəʊk/ 美:/prə'vok/","vt. 激起；惹怒

时 态:  
provoked，provoking，provokes",
416,"psychology","英:/saɪ'kɒlədʒɪ/ 美:/saɪ'kɑlədʒi/","- n. 心理学
- 心理; 心理特点",
417,"quant","英:/kwɒnt/ 美:/kwænt/","- n. 船桨；[商业俚语]数量分析专家
- vt. 用篙撑
- vi. 用篙撑船",
418,"racism","英:/'reɪsɪz(ə)m/ 美:/'resɪzəm/","n. 种族主义，种族歧视；人种偏见


形容词:  
racist",
419,"racist","英:/ˈreisist/ 美:/'resɪst/","n. 种族歧视者",
420,"receipt","英:/rɪ'siːt/ 美:/rɪ'sit/","- n. 收到；收据；收入
- vt. 收到


时 态:  
receipted, receipting, receipts",
421,"Reception","英:/rɪ'sepʃ(ə)n/ 美:/rɪ'sɛpʃən/","- n. 接待, 接见
- 招待会, 欢迎会
- 接待处, 服务台, 问询处
- 接收效果",
422,"refreshing","英:/rɪ'freʃɪŋ/ 美:/ri'frɛʃɪŋ/","- adj. 耳目一新的;新颖的;新鲜的
- 使人精神焕发的;使恢复精神的

副 词:  
refreshingly",
423,"remedy","英:/'remɪdɪ/ 美:/'rɛmədi/","- n. 药品, 治疗法
- 补救办法, 纠正办法",
424,"residential","英:/rezɪ'denʃ(ə)l/ 美:/ˌrɛzɪ'dɛnʃl/","- adj. 住宅的, 适于作住宅的
- 与居住有关的",
425,"revaluation","/ˌri:vælju'eiʃən/","n. 再评价",
426,"revenge","英:/rɪ'ven(d)ʒ/ 美:/rɪ'vɛndʒ/","- n. 复仇；报复
- vt. 报复；替…报仇；洗雪
- vi. 报仇；雪耻


时 态:  
revenged, revenging, revenges 

名 词:  
revenger",
427,"revise","英:/rɪ'vaɪz/ 美:/rɪ'vaɪz/","- vt. 修订, 修改
- vt. & vi. 复习

时 态:  
revised, revising, revises 

形容词:  
revisable",
428,"safari","英:/sə'fɑːrɪ/ 美:/sə'fɑri/","n. 旅行；狩猎远征；旅行队",
429,"savoury","英:/'seivəri/ 美:/ˈsevəri/","- adj. (食物)咸的，辣的
- 美味可口的；芳香开胃的
- 道德高尚的，可敬的
- n. 咸的或辣的食物(通常为一顿饭最后吃的)；(烹调用的)香薄荷",
430,"scaffolding","英:/'skæfəʊldɪŋ/ 美:/'skæfəldɪŋ/","n. 搭脚手架的材料",
431,"scenario","英:/sɪ'nɑːrɪəʊ/ 美:/sə'nærɪo/","n. 情节；剧本；方案",
432,"seminar","英:/'semɪnɑː/ 美:/'sɛmɪnɑr/","n. 讨论会，研讨班",
433,"sensation","英:/sen'seɪʃ(ə)n/ 美:/sɛn'seʃən/","- n. 感觉, 感受
- 知觉
- 激动, 轰动",
434,"shaft","英:/ʃɑːft/ 美:/ʃæft/","- n. 箭杆，矛柄
- 轴
- 烟囱，通风管道，升降机井
- 光线
- vt. 苛待(某人)；欺骗

时 态:  
shafted，shafting，shafts",
435,"shiver","英:/'ʃɪvə/ 美:/'ʃɪvɚ/","- n. 颤抖，战栗；碎片
- vi. 颤抖；哆嗦；打碎
- vt. 颤抖；打碎


时 态:  
shivered, shivering, shivers",
436,"sin","英:/sɪn/ 美:/sɪn/","- n. 过失；罪恶；罪孽
- vi. 犯罪；犯过失
- vt. 犯罪


时 态:  
sinned, sinning, sins",
437,"sincere","英:/sɪn'sɪə/ 美:/sɪn'sɪr/","adj. 真诚的；诚挚的；真实的


比较级:  
sincerer, sincerest 

副 词:  
sincerely",
438,"slope","英:/sləʊp/ 美:/slop/","- n. 倾斜；斜率；斜坡；扛枪姿势
- vi. 倾斜；逃走
- vt. 扛；倾斜；使倾斜


时 态:  
sloped, sloping, slopes 

名 词:  
sloper",
439,"sore","英:/sɔː/ 美:/sɔr/","- adj. 剧烈的，极度的；疼痛的，痛心的；恼火的，发怒的；厉害的，迫切的
- n. 溃疡，痛处；恨事，伤心事


比较级:  
sorer, sorest 

名 词:  
soreness",
440,"sour","英:/saʊə/ 美:/'saʊɚ/","- adj. 有酸味的，酸的
- 有发酵味道的，酸腐的，馊的
- 坏脾气的；别扭的
- vt. & vi. (使某物)变酸，变馊；(使某人)阴郁

比较级:  
sourer，sourest 

形容词:  
sourish

副 词:  
sourly

名 词:  
sourness",
441,"species","英:/'spiːʃiːz/ 美:/'spiʃiz/","- n. 物种；种类
- adj. [生物]物种上的",
442,"spoil","英:/spɒɪl/ 美:/spɔɪl/","- vi. 变质
- vt. 损坏；毁掉
- 溺爱，宠坏

时 态:  
spoiled，spoilt  
spoiling，spoils",
443,"sprout","英:/sprəʊt/ 美:/spraʊt/","- vi. 发芽；长芽
- vt. 使发芽；使萌芽
- n. 芽；萌芽；苗芽


时 态:  
sprouted, sprouting, sprouts",
444,"Steep","英:/stiːp/ 美:/stip/","- adj. 陡峭的；夸大的；不合理的；急剧升降的
- vt. 浸；泡；使…充满
- vi. 泡；沉浸
- n. 浸渍；峭壁


比较级:  
steeper, steepest 

副 词:  
steeply

名 词:  
steepness

名 词:  
steeper",
445,"stubborn","英:/'stʌbən/ 美:/'stʌbɚn/","- adj. 顽固的；固执的
- 难以移动、去除、医治等

比较级:  
stubborner，stubbornest 

副 词:  
stubbornly

名 词:  
stubbornness",
446,"sufficient","英:/sə'fɪʃ(ə)nt/ 美:/sə'fɪʃnt/","adj. 足够的; 充足的

副 词:  
sufficiently",
447,"take off","","起飞,脱掉",
448,"tangerine","英:/tæn(d)ʒə'riːn/ 美:/'tændʒə'rin/","n. 柑橘；橘红色
Tangerine丹吉尔

形容词:  
tangerine",
449,"tedious","英:/'tiːdɪəs/ 美:/'tidɪəs/","adj. 乏味的, 单调的

副 词:  
tediously

名 词:  
tediousness",
450,"tender","英:/'tendə/ 美:/'tɛndɚ/","- adj. 柔软的；温柔的；脆弱的；幼稚的；难对付的
- n. 看管人；小船；偿付，清偿
- vt. 使…变嫩；是…变柔软；提供，偿还
- vi. 投标；变柔软


比较级:  
tenderer, tenderest 

副 词:  
tenderly

名 词:  
tenderness

名 词:  
tenderer",
451,"terrific","英:/tə'rɪfɪk/ 美:/tə'rɪfɪk/","- adj. 极大的, 非常的
- 极好的，了不起的, 非常棒的, 非常漂亮的
- 可怕的, 恐怖的, 骇人的

副 词:  
terrifically",
452,"terrify","英:/'terɪfaɪ/ 美:/'tɛrɪfaɪ/","vt. 使害怕；使恐怖；恐吓


时 态:  
terrified, terrifying, terrifies",
453,"theoretical","英:/θɪə'retɪk(ə)l/ 美:/ˌθiə'rɛtɪkəl/","- adj. 理论的
- 推想的, 假设的

副 词:  
theoretically",
454,"thigh","英:/θaɪ/ 美:/θaɪ/","n. 大腿，股",
455,"thorough","英:/'θʌrə/ 美:/'θɝo/","adj. 彻底的；十分的；周密的


副 词:  
thoroughly

名 词:  
thoroughness",
456,"thrill","英:/θrɪl/ 美:/θrɪl/","- n. 强烈的兴奋、恐惧或快乐感
- vt. & vi. (使)兴奋, (使)激动

时 态:  
thrilled, thrilling, thrills 

副 词:  
thrillingly",
457,"thriller","英:/'θrɪlə/ 美:/'θrɪlɚ/","n. 使人毛骨悚然的东西；使人毛骨悚然的小说；惊险小说",
458,"tolerate","英:/'tɒləreɪt/ 美:/'tɑləret/","- vt. 容许；承认
- 忍受；容忍

时 态:  
tolerated，tolerating，tolerates 

名 词:  
tolerator",
459,"towel","英:/'taʊəl/ 美:/'taʊəl/","- n. 毛巾，手巾；纸巾
- vt. 用毛巾擦
- vi. 用毛巾擦干身体


时 态:  
toweled, towelled 
toweling, towelling 
towels, towels",
460,"tribe","英:/traɪb/ 美:/traɪb/","n. 部落；宗族；一伙；[生]族",
461,"tribute","英:/'trɪbjuːt/ 美:/'trɪbjut/","n. 贡物；颂词；礼物",
462,"triumph","英:/'traɪʌmf/ 美:/'traɪʌmf/","- n. 胜利，成功
- 巨大的成就[成功]
- vi. 获胜，得胜；克服

时 态:  
triumphed，triumphing，triumphs",
463,"tropical","英:/'trɒpɪk(ə)l/ 美:/'trɑpɪkl/","adj. 热带的；酷热的；热情的",
464,"trousers","英:/'traʊzəz/ 美:/'traʊzɚz/","n. 裤子",
465,"Trunk","英:/trʌŋk/ 美:/trʌŋk/","- n. 树干
- 衣箱
- 象鼻",
466,"tsunami","英:/tsuː'nɑːmɪ/ 美:/tsʊ'nɑmi/","n. 海啸",
467,"twig","英:/twɪg/ 美:/twɪɡ/","n. 细枝；嫩枝

时 态:  
twigged，twigging，twigs",
468,"unscented","/ʌn'sentid/","adj. 无气味的; 无香味的",
469,"vacuum","英:/'vækjʊəm/ 美:/'vækjʊəm/","- n. 真空
- 〈口〉真空吸尘器
- 空间; 空虚; 空白
- vt. 用真空吸尘器清扫(某物)",
470,"vessel","英:/'ves(ə)l/ 美:/'vɛsl/","n. 容器，器皿；船，舰；脉管，血管",
471,"waist","英:/weɪst/ 美:/west/","n. 腰，腰部",
472,"whip","英:/wɪp/ 美:/wɪp/","- vt. 抽打；煽动；搅打（蛋，奶油）；[口]彻底击败
- n. 鞭子；抽打；车夫；搅拌器
- vi. 抽打；急走；拍击


时 态:  
whipped, whipt  
whipping, whips 

名 词:  
whipper",
473,"wisdom","英:/'wɪzdəm/ 美:/'wɪzdəm/","- n. 明智, 智慧, 正确的判断
- 知识, 学问",
474,"wrap","英:/ræp/ 美:/ræp/","- vt. 包；隐藏；缠绕；掩护
- vi. 缠绕；穿外衣；包起来
- n. 外套；围巾

WRAPabbr. Web-Ready Appliances Protocol可上网家电协议

时 态:  
wrapped, wrapt  
wrapping, wraps",
475,"a block of flats","","",
476,"abbreviation","英:/əbriːvɪ'eɪʃ(ə)n/ 美:/ə'brivɪ'eʃən/","n. 缩写; 缩写词",
477,"abstraction","英:/əb'strækʃ(ə)n/ 美:/æb'strækʃən/","- n. 抽象,抽取
- 抽象化；抽象过程
- 抽象概念；抽象名称
- 抽象性，抽象的特征
- 出神；心不在焉
- 不切实际的想法，空想；幻想的事物
- (艺术上的)抽象主义
- 抽象，抽离；抽离运符
- 偷窃",
478,"acid","英:/'æsɪd/ 美:/'æsɪd/","- adj. 酸味的, 酸的
- 尖刻的
- n. 〈化〉酸
- 酸味物质

副 词:  
acidly

名 词:  
acidness",
479,"actress","英:/'æktrɪs/ 美:/'æktrəs/","n. 女演员",
480,"addiction","英:/ə'dɪkʃ(ə)n/ 美:/ə'dɪkʃən/","- n. 瘾，吸毒成瘾
- 沉溺;癖好",
481,"adequate","英:/'ædɪkwət/ 美:/ˈædɪkwɪt/","- adj. 充分的, 足够的
- 适当的, 胜任的

名 词:  
adequacy

副 词:  
adequately",
482,"Administrative department","","",
483,"admonition","英:/ˌædmə'nɪʃ(ə)n/ 美:/ˌædmə'nɪʃən/","- n. 告诫,劝告，忠告
- 轻责，(温和的)责备",
484,"adolescence","英:/ædə'les(ə)ns/ 美:/ˌædə'lɛsns/","n. 青春期(一般指成年以前由13至15的发育期)",
485,"adore","英:/ə'dɔː/ 美:/ə'dɔr/","- vt. 爱慕；崇拜
- 非常喜欢

时 态:  
adored，adoring，adores 

名 词:  
adorer

副 词:  
adoringly",
486,"advantage","英:/əd'vɑːntɪdʒ/ 美:/əd'væntɪdʒ/","- n. 有利条件, 有利因素, 优势
- 益处, 利益

时 态:  
advantaged, advantaging, advantages",
487,"adventure","英:/əd'ventʃə/ 美:/əd'vɛntʃɚ/","- n. 冒险活动；冒险经历；奇遇
- 冒险，刺激
- vt. & vi. 冒险

时 态:  
adventured，adventuring，adventures",
488,"affirmative","英:/ə'fɜːmətɪv/ 美:/ə'fɝmətɪv/","- adj. 肯定的
- (对辩论问题)表示赞成的，认可的
- (态度、方法等)积极的，正面的
- 乐观的，抱有希望的
- 敢说的；自信的；确信的
- (命题)肯定的，断言的
- n. 肯定词；肯定语；肯定表达法
- 肯定命题；肯定的陈述
- (the ～)(投票或辩论中)赞成的一方
- 表示赞成，以肯定方式
- 作肯定回答，说“是”
- (在辩论时)站在赞成的一方

副 词:  
affirmatively",
489,"again","英:/ə'gen/ 美:/ə'ɡɛn/","- adv. 再(次), 又(一次)
- 此外, 另一方面
- 反响, 反应",
490,"agnostic","英:/æg'nɒstɪk/ 美:/æg'nɑstɪk/","- n. 不可知论者
- adj. 不可知论(者)的",
491,"agonise","英:/'æɡənaiz/ 美:/ˈæɡəˌnaɪz/","- vt. 使(极度)痛苦，折磨
- vi. 苦斗，苦苦思索
- 感到极度痛苦，苦闷，苦恼",
492,"agricultural","英:/ˌægriˈkʌltʃərəl/ 美:/ˌægrɪ'kʌltʃərəl/","- adj. 农业的
- 农艺的，农学的
- 务农的，耕种的
- 农用的",
493,"aide","英:/eɪd/ 美:/ed/","n. 副官；助手；侍从武官",
494,"airy","英:/'eərɪ/ 美:/'ɛri/","- adj. 空气的；大气的
- 空中的；高耸入云的
- 通风的，空气新鲜的
- 虚幻的；出于空想的
- 轻而薄的
- 轻快的；优美的
- 快活的；欢乐的
- 做作的；高傲的
- 轻率的

比较级:  
airier，airiest 

副 词:  
airily

名 词:  
airiness",
495,"aisle","英:/aɪl/ 美:/aɪl/","n. 过道, 通道",
496,"alibi","英:/'ælɪbaɪ/ 美:/'æləbaɪ/","- n. 托辞；犯罪现场；辩解
- vi. 辩解；找借口
- vt. 为…辩解",
497,"align","英:/ə'laɪn/ 美:/ə'laɪn/","- vt. 使结盟；使成一行；匹配
- vi. 排列；排成一行


时 态:  
alignedalso alined 
aligningalining 
alignsalines  

名 词:  
aligner",
498,"alleged","英:/ə'ledʒd/ 美:/əˈlɛdʒd/","adj. 声称的,所谓的

副 词:  
allegedly",
499,"almond","英:/'ɑːmənd/ 美:/'ɑmənd/","- n. 杏树；杏仁
- 杏仁状的东西
- 杏仁色，淡黄褐色
- adj. 杏仁制的
- 杏仁味的
- 杏仁状(或色)的",
500,"ambient","英:/'æmbɪənt/ 美:/'æmbɪənt/","adj. 周围的,包围着的",
501,"ambition","英:/æm'bɪʃ(ə)n/ 美:/æm'bɪʃən/","- n. 野心，雄心；抱负，志向
- vt. 有…野心；追求",
502,"amuse","英:/ə'mjuːz/ 美:/ə'mjuz/","vt. 使发笑；消遣；娱乐；使愉快


时 态:  
amused, amusing, amuses",
503,"analogue","英:/ˈænəˌlɔ:g/ 美:/'ænl'ɔg/","- n. 类似物；类似情况；对等的人
- adj. 类似的；相似物的；模拟计算机的",
504,"anaphylaxis","英:/ˌænəfɪ'læksɪs/ 美:/ˌænəfɪ'læksɪs/","n. 过敏反应

形容词:  
anaphylactic",
505,"ancestor","英:/'ænsestə/ 美:/'ænsɛstɚ/","- n. 祖先, 祖宗
- 原型, 先驱",
506,"ancient","英:/'eɪnʃ(ə)nt/ 美:/'enʃənt/","- adj. 古代的；古老的，过时的；年老的
- n. 老人；古代人


副 词:  
anciently",
507,"annoy","英:/ə'nɒɪ/ 美:/ə'nɔɪ/","- vt. 打扰, 干扰
- 使烦恼, 使恼怒

时 态:  
annoyed, annoying, annoys",
508,"annoying","英:/ə'nɒɪɪŋ/ 美:/ə'nɔɪɪŋ/","adj. 讨厌的；恼人的，使人烦恼的

副 词:  
annoyingly",
509,"antibiotic","英:/ˌæntɪbaɪ'ɒtɪk/ 美:/ˌæntɪbaɪ'ɑtɪk/","- n. 抗生素, 抗菌素
- adj. 抗生的；抗菌的",
510,"antonym","英:/'æntənɪm/ 美:/'æntənɪm/","n. [语]反义词


形容词:  
antonymous

名 词:  
antonymy",
511,"anxiously","英:/'æŋkʃəsli/ 美:/ˈæ ŋkʃəslɪ/","adv. 焦急地;担忧地",
