#,单词,音标,解释,笔记
560,"bugger","英:/'bʌgə/ 美:/'bʌɡɚ/","▪ I. bugger 1 UK  [ˈbʌɡə(r)] US  [ˈbʌɡər] noun [countable] [singular bugger plural buggers] British
    impolite an insulting word for someone who is stupid or annoying
        Thesaurus: insulting words for someone who is stupid or sillysynonym 
      a. informal used for expressing sympathy about someone you like or feel sorry for
        The poor little bugger’s broken his leg.
        Thesaurus: ways of expressing sympathysynonym someone you feel sorry forsynonym 
        Phrases: be a bugger ▪ bugger all ▪ play silly buggers
▪ II. bugger 2 UK  [ˈbʌɡə(r)] US  [ˈbʌɡər] verb [transitive] [present tense I/you/we/they bugger he/she/it buggers present participle buggering past tense buggered past participle buggered] British impolite
    1. used for saying that you do not care about someone or something
        Bugger the lot of them!
        Thesaurus: ways of saying that you do not caresynonym 
    2. to have anal sex with someone
        Thesaurus: to have sexsynonym sexual activityhyponym 
    3. to break something
        Don’t tell me she’s buggered the TV again!
        Thesaurus: to destroy or severely damage somethingsynonym 
        Phrases: bugger me ▪ well I'll be buggered
        Phrasal Verbs: bugger about ▪ bugger around ▪ bugger off ▪ bugger up
▪ III. bugger 3 UK  [ˈbʌɡə(r)] US  [ˈbʌɡər] interjection British impolite
    bugger variant bugger it variant used for saying that you are annoyed about something
        Thesaurus: impolite and offensive expressions used when annoyed or angrysynonym",
561,"bulb","英:/bʌlb/ 美:/bʌlb/","bulb UK  [bʌlb] US  noun [countable] [singular bulb plural bulbs] ★
  1. a light bulb 

      Thesaurus: parts of lamps and lightsmeronym types of electric lighthyponym 
  2. the part of a plant that is shaped like an onion from which a flower grows. You plant bulbs in the ground
      daffodil bulbs
      Thesaurus: parts of plantsmeronym general types of planthypernym",
562,"bulk","英:/bʌlk/ 美:/bʌlk/","▪ I. bulk 1 UK  [bʌlk] US  noun [singular bulk plural bulks] ★★
    [countable] usually singular something that is very large, wide, and solid
        She heaved her formidable bulk off the frail chair.
        We looked up at the great dark bulk of the cathedral.
        Thesaurus: something that is large in sizesynonym 
      a. [uncountable] the fact of being large
        Despite its bulk and weight, the Mercedes handles like a small car.
        Thesaurus: large sizesynonym 
        Phrases: bulk of something ▪ in bulk
▪ II. bulk 2 UK  [bʌlk] US  adjective only before noun
    relating to the sale, production, or transport of goods in large quantities
        a producer of bulk agricultural chemicals
        bulk order: a bulk order for 100 Christmas trees
        bulk buying/purchasing/selling etc: Members get the price benefit of bulk buying.
        Thesaurus: words used to describe large amounts and quantitiessynonym 
▪ III. bulk 3 UK  [bʌlk] US  verb [present tense I/you/we/they bulk he/she/it bulks present participle bulking past tense bulked past participle bulked]
        Phrasal Verbs: bulk out ▪ bulk up",
563,"bulldozer","英:/'bʊldəʊzə/ 美:/'bʊl'dozɚ/","bulldozer UK  [ˈbʊlˌdəʊzə(r)] US  [ˈbʊlˌdoʊzər] noun [countable] [singular bulldozer plural bulldozers]
  a heavy vehicle with a large curved open container at the front, used for moving earth and stones, destroying buildings etc, especially in order to make land ready for new building work
      Thesaurus: military and industrial vehicleshyponym",
564,"bumblebee","英:/'bʌmb(ə)lbiː/ 美:/'bʌmblbi/","bumblebee UK  [ˈbʌmb(ə)lˌbiː] US  [ˈbʌmb(ə)lˌbi] noun [countable] [singular bumblebee plural bumblebees]
  a large bee
      Thesaurus: types of insecthyponym parts of insectsmeronym",
565,"bureau","英:/'bjʊərəʊ/ 美:/'bjʊro/","bureau UK  [ˈbjʊərəʊ] US  [ˈbjʊroʊ] noun [countable] [singular bureau plural bureaux [ˈbjʊərəʊz] [ˈbjʊroʊz] bureaus] ★★
  1. an organization that provides information or services
      an advice bureau
      the Waste Management Information Bureau
      Thesaurus: general words for organizations and institutionssynonym joining, belonging to and leaving clubs, organizations and groups
    1a. an office where information is collected, for example for a news organization
      Newsweek’s Paris bureau
      Thesaurus: general words for offices and the workplacehyponym 
  2. British a piece of furniture with drawers and a top part that opens to make a writing table
      Thesaurus: deskshyponym 
  3. mainly American a government department or part of a government department
      the European Affairs Bureau
      Thesaurus: government departments and public bodieshyponym 
    3a. the Bureau variant the fbi in the US
      Thesaurus: us government departments and organizationshyponym 
  4. American a chest of drawers
      Thesaurus: cupboardshyponym",
566,"bustling","/'bʌsliŋ/","bustling UK  [ˈbʌs(ə)lɪŋ] US  adjective
  a bustling place is full of noise and activity and is usually pleasant and interesting
      Thesaurus: busy places and times and describing busy places and timessynonym",
567,"caffeine","英:/'kæfiːn/ 美:/'kæfin/","caffeine UK  [ˈkæfiːn] US  [ˈkæˌfin] noun [uncountable]
  a substance in coffee and tea that makes you feel awake. Drinks that have had the caffeine removed are decaffeinated or caffeine-free .
      Thesaurus: substances and chemicals in food and drinkhyponym types of food or drinkhypernym",
568,"calculus","英:/'kælkjʊləs/ 美:/'kælkjələs/","calculus UK  [ˈkælkjʊləs] US  [ˈkælkjələs] noun [uncountable] maths
  a type of mathematics used for calculating such things as the slopes of curves 
      Thesaurus: types of mathematicshyponym to calculate or countsynonym",
569,"calm","英:/kɑːm/ 美:/kɑm/","▪ I. calm 1 UK  [kɑːm] US  [kɑm] adjective [adjective calm comparative calmer superlative calmest] ★★
    1. not affected by strong emotions such as excitement, anger, shock, or fear
        An hour after the accident, I was starting to feel calmer.
        stay/​keep/​remain calm: We were told to stay calm as help was on the way.
        Thesaurus: calm and relaxedsynonym 
      1a. used about the way someone talks or behaves
        a calm quiet voice
        Thesaurus: calm and relaxedsynonym 
    2. calm water does not move very much
        The sea looks much calmer today.
        We could see our reflections in the calm surface of the lake.
        Thesaurus: words used to describe areas of waterhyponym 
    3. if the weather is calm, there is very little wind
        a calm day
        We’re going to see a period of calmer weather starting this weekend.
        Thesaurus: words used to describe calm and pleasant weatherhyponym cold weather and periods of cold weathersynonym 
    4. peaceful and not affected by violence, fighting, or excited activity
        The city appears calm after last night’s missile attack.
        a calmer day on the stock market after yesterday’s big falls
        Thesaurus: peaceful and peacefulnesssynonym 
        Derived Words: calmly ▪ calmness
▪ II. calm 2 UK  [kɑːm] US  [kɑm] verb [transitive] [present tense I/you/we/they calm he/she/it calms present participle calming past tense calmed past participle calmed] ★★
    1. to make someone feel more relaxed and less emotional
        None of our efforts to calm her succeeded.
        Thesaurus: to make someone less angrysynonym 
    2. to make a situation more peaceful and less affected by violence, fighting, or excited activity
        The stock market has calmed after a busy few weeks.
        Thesaurus: to reduce, or to remove the bad effects of somethingsynonym 
        Phrasal Verb: calm down
▪ III. calm 3 UK  [kɑːm] US  [kɑm] noun [uncountable] ★
    1. a situation in which everything is peaceful and there is no trouble or violence
        Thesaurus: pleasant situationssynonym 
    2. a state in which you are not affected by strong emotions such as excitement, anger, shock, or fear
        He accepted her decision with his usual calm.
        Thesaurus: calmnesssynonym 
    3. a state in which there is no wind, so that the sea does not move very much
        Thesaurus: words used to describe calm and pleasant weatherhyponym cold weather and periods of cold weathersynonym 
        See also: storm1",
570,"camper van","","camper van UK  US  noun [countable] [singular camper van plural camper vans] British
  a motor vehicle used for living in on holidays It is smaller than a caravan . 

      Thesaurus: camping and caravanninghyponym road vehicles other than carshyponym people who travelhyponym",
571,"canary","英:/kə'neərɪ/ 美:/kə'nɛri/","canary UK  [kəˈneəri] US  [kəˈneri] noun [countable] [singular canary plural canaries]
  a small yellow bird that is kept as a pet, known for its beautiful singing
      Thesaurus: species of birdhyponym",
572,"candour","英:/'kændə/ 美:/ˈkændɚ/","candour UK  [ˈkændə(r)] US  [ˈkændər] noun [uncountable]
  honesty, even when the truth is not pleasant
      With brutal candour, he pointed out all the flaws in our plans.
      Thesaurus: honesty and sinceritysynonym",
573,"cannabis","英:/'kænəbɪs/ 美:/'kænəbɪs/","cannabis UK  [ˈkænəbɪs] US  noun [uncountable]
  a drug made from the hemp plant and usually smoked. Cannabis is illegal in most countries.
      Thesaurus: illegal drugs and drugs sometimes taken illegallyhyponym",
574,"canola","英:/kə'nolə/ 美:/kəˈnolə/","",
575,"Cantonese","英:/ˌkæntəˈni:z/ 美:/ˌkæntəˈniz/","Cantonese UK  [ˌkæntəˈniːz] US  [ˌkæntəˈniz] adjective
  connected with the Guangdong region of southern China, or its language, food, or culture
      a delicious Hong Kong-style Cantonese meal
      Thesaurus: relating to a country, or its language or culturehyponym",
576,"capsule","英:/'kæpsjuːl/ 美:/ˈkæpsl,ˈkæpsuːl/","capsule UK  [ˈkæpsjuːl] US  [ˈkæpsəl] US  [ˈkæpˌsjul] noun [countable] [singular capsule plural capsules]
  1. a small round container filled with medicine that you swallow whole
      Take two capsules three times a day.
      Thesaurus: types and forms of medicinehyponym 
  2. the part of a space vehicle in which people travel
      Thesaurus: space vehicles and space travelhyponym general and informal words for vehicleshyponym 
  3. biology a small container in which seeds or eggs develop in some plants and animals
      Thesaurus: parts of animalsmeronym parts of plantsmeronym skin, bones and fur of animalshyponym",
577,"caravan","英:/'kærəvæn/ 美:/'kærəvæn/","caravan UK  [ˈkærəvæn] US  [ˈkerəˌvæn] noun [countable] [singular caravan plural caravans] ★★
  1. British a vehicle that people can live and travel in on holiday. Caravans are usually towed (=pulled) by a car. The American word is trailer
      a six-berth luxury caravan
      a caravan holiday
      Thesaurus: camping and caravanninghyponym road vehicles other than carshyponym people who travelhyponym 
    1a. a vehicle that romanies live in, sometimes pulled by a horse
      Thesaurus: road vehicles pulled by horseshyponym 
  2. a group of people and vehicles travelling together, especially in a desert
      Thesaurus: people who travelhyponym lines of people or their vehicleshyponym",
578,"carbon emissions","","carbon emissions UK  US  noun [plural]
  carbon dioxide and carbon monoxide in the atmosphere, produced by vehicles and industrial processes
      Thesaurus: pollutantshyponym natural worldsynonym",
579,"carpets","/'kɑ:pit/","on the carpet 
在考虑中；在审议中

red carpet 
（迎接贵宾用的）红地毯；隆重的接待

magic carpet 
n. （《一千零一夜》中载人飞行的）魔毯；幻想中的神奇无比的交通工具

wool carpet 
羊毛地毯

persian carpet 
波斯地毯

carpet backing 
地毯底布",
580,"carrousel","英:/ˌkærə'sel/ 美:/ˌkærʊ'zɛl/","carrousel
noun


Corpus examples








carrousel
carrousels
carrousel
car‧rou‧sel

 /
ˌkærəˈsel
/

 noun

 [countable
]

 
an American spelling of 

carousel",
581,"carry off","","ˌcarry ˈoff [transitive] [present tense I/you/we/they carry off he/she/it carries off present participle carrying off past tense carried off past participle carried off] phrasal verb
  1. to deal successfully with something difficult
      Both actors have the stylish self-confidence needed to carry off these roles.
      Thesaurus: to successfully deal with a problem or difficultysynonym 
  2. to win a prize
      At last week’s Oscars, a small number of films carried off nearly all the prizes.
      Thesaurus: to win a prize, or to award a prizesynonym 
      Main entry: carry",
582,"cashew","英:/'kæʃuː/ 美:/'kæʃʊ/","cashew UK  [ˈkæʃuː] UK  [kæˈʃuː] US  [ˈkæˌʃu] US  [kæˈʃu] noun [countable] [singular cashew plural cashews] [singular cashew nut plural cashew nuts]
  a curved nut eaten as a food
      Thesaurus: edible nutshyponym types of food or drinkhypernym 
      Variant: cashew nut",
583,"cask","英:/kɑːsk/ 美:/kæsk/","cask UK  [kɑːsk] US  [kæsk] noun [countable] [singular cask plural casks]
  a round wooden container for storing a liquid, especially alcoholic drink
      Thesaurus: containers for carrying or storing liquidhyponym bags and cases for carrying possessionshyponym",
584,"casserole","英:/'kæsərəʊl/ 美:/'kæsərol/","casserole UK  [ˈkæsərəʊl] US  [ˈkæsəˌroʊl] noun [countable/uncountable] [singular casserole plural casseroles]
  a deep dish with a lid, used for cooking a mixture of meat, vegetables etc in the oven
      Thesaurus: pots and panshyponym 
    a. food prepared in a casserole dish
      a chicken and vegetable casserole
      Thesaurus: prepared disheshyponym",
585,"cast away","","castaway UK  [ˈkɑːstəˌweɪ] US  [ˈkæstəˌweɪ] noun [countable] [singular castaway plural castaways]
  someone whose ship has sunk and who is left on an island or beach where there are no other people
      Thesaurus: sailing and boatinghyponym",
586,"catcher","英:/'kætʃə/ 美:/'kætʃɚ/","catcher UK  [ˈkætʃə(r)] US  [ˈkætʃər] noun [countable] [singular catcher plural catchers]
  in baseball, the person who stands behind the person who is hitting the ball and catches any balls that are not hit 

      Thesaurus: baseball players, teams and competitionshyponym",
587,"Catholicism","英:/kəˈθɔliˌsizəm/ 美:/kəˈθɑlɪˌsɪzəm/","Catholicism 41 
  altar boy noun altar boy 
      a boy who helps a priest in a religious service, especially in the Catholic Church 
  Anglo-Catholic noun Anglo-Catholic 
      an Anglican whose beliefs and practices are similar to those of the Catholic Church 
  apostolic 1 adjective apostolic 
      relating to the pope (=the leader of the Roman Catholic Church) 
  bull 3 noun bull 
      an official statement from a pope 
  Catholic noun Catholic 
      a member of the Roman Catholic Church 
  Catholic adjective Catholic 
      connected with the Roman Catholic Church 
  Catholicism noun Catholicism 
      the religion of the Roman Catholic Church 
  conclave a noun conclave 
      formal a secret meeting of cardinals (=senior priests) in the Catholic Church, in which they elect a new pope 
  confess 3 verb confess 
      to tell a priest about the bad things you have done, and ask to be forgiven for them, especially in the Roman Catholic Church 
  confession 3 noun confession 
      a statement that you make to a priest, especially in the Roman Catholic Church, in which you say what bad things you have done and ask to be forgiven 
  confessional noun confessional 
      a small room in a church, especially a Roman Catholic church, where a person goes to tell a priest about the bad things they have done and ask to be forgiven 
  confessor noun confessor 
      a priest, especially in the Roman Catholic Church, who listens to someone admit to the bad things that they have done 
  encyclical noun encyclical 
      an official announcement by the pope in the form of a letter 
  excommunicate verb excommunicate 
      to officially say that someone can no longer be a member of the Roman Catholic Church because they have done something that breaks the rules of the Church 
  Holy Father noun Holy Father 
      used as a way of talking to or about the Pope 
  the Holy See 2 Holy See 
      formal the government and influence of the Pope 
  imprimatur 2 noun imprimatur 
      official permission given by the Roman Catholic Church for a book to be printed 
  interdict 2 noun interdict 
      an order from the Roman Catholic Church that officially prevents someone from taking part in its services 
  limbo 1 noun limbo 
      in the Roman Catholic religion, the place between heaven and hell where some people who are not Christians go when they die 
  mortal sin noun mortal sin 
      according to the Catholic Church something you do that is so bad that you will be punished for ever after death unless you do what is necessary to be forgiven 
  the papacy 1 noun papacy 
      the position or power of the pope 
  papacy 2 noun papacy 
      the period during which a particular person is the Pope 
  papal adjective papal 
      relating to the pope 
  papist noun papist 
      offensive an insulting word for someone who is a Roman Catholic 
  pontiff noun pontiff 
      formal the pope 
  pontificate noun pontificate 
      formal the position of being the Pope 
  popemobile noun popemobile 
      informal a vehicle with high glass sides that the Pope uses on official visits so that people can see him easily 
  popery noun popery 
      old-fashioned an insulting word for Roman Catholicism 
  popish adjective popish 
      an insulting word for Roman Catholic 
  presbytery 2 noun presbytery 
      the house where a Roman Catholic priest lives 
  purgatory 1 noun purgatory 
      the place where Roman Catholics believe people suffer after they die for the wrong things that they have done before they can go to heaven 
  RC abbreviation RC 
      Roman Catholic 
  Roman Catholic noun Roman Catholic 
      a member of the part of the Christian Church that has the pope as its leader 
  the Sacrament of the Sick noun Sacrament of the Sick 
      a religious ceremony performed by a Roman Catholic priest for someone who is dying 
  the Vulgate Vulgate 
      an early translation of the Bible into Latin that was used in the past by the Roman Catholic Church 
  excommunication noun excommunication 
  Roman Catholic adjective Roman Catholic 
  Roman Catholicism noun Roman Catholicism 
  cross yourself cross yourself 
      to make the shape of the Christian symbol of the Cross over your body, by moving a hand from the head to the chest and then from shoulder to shoulder, especially in the Roman Catholic religion 
  extreme unction extreme unction 
      a ceremony in the Catholic Church for someone who is dying. The priest puts special oil on the sick person’s head while praying for them. 
  Your/​His Holiness Your Holiness 
      used for talking to or about an important religious leader, especially the PopeCatholicism UK  [kəˈθɒlɪˌsɪz(ə)m] US  [kəˈθɑlɪˌsɪzəm] noun [uncountable]
  the religion of the Roman Catholic Church
      Thesaurus: catholicismhyponym",
588,"censure","英:/'senʃə/ 美:/'sɛnʃɚ/","▪ I. censure 1 UK  [ˈsenʃə(r)] US  [ˈsenʃər] noun [uncountable] formal
    severe criticism of someone
        a vote of censure
        Thesaurus: criticism and disapprovalsynonym 
▪ II. censure 2 UK  [ˈsenʃə(r)] US  [ˈsenʃər] verb [transitive] [present tense I/you/we/they censure he/she/it censures present participle censuring past tense censured past participle censured] formal
    to criticize someone severely
        He was censured by the party leader for his comments.
        Thesaurus: to criticize stronglysynonym",
589,"cereal","英:/'sɪərɪəl/ 美:/'sɪrɪəl/","cereal UK  [ˈsɪəriəl] US  [ˈsɪriəl] noun [singular cereal plural cereals] ★
  1. [countable/uncountable] a food made from grain, for example wheat, oats , or corn , mainly eaten with milk for breakfast
      a bowl of cereal
      Thesaurus: rice, wheat and grain productshyponym types of food or drinkhypernym 
  2. [countable] a plant that produces grain, used as food for people and animals
      cereal crops 

      Thesaurus: general types of planthypernym parts of plantsmeronym",
590,"Cervical smears","","",
591,"chalk","英:/tʃɔːk/ 美:/tʃɔk/","▪ I. chalk 1 UK  [tʃɔːk] US  [tʃɔk] noun [singular chalk plural chalks]
    [uncountable] a type of soft white stone
        Thesaurus: types of stone or rockhyponym 
      a. [countable/uncountable] a stick of white or coloured chalk, used for writing or drawing, especially on a blackboard
        Thesaurus: artists' materials and equipmenthyponym 
        See also: long1
        Phrase: chalk and cheese
▪ II. chalk 2 UK  [tʃɔːk] US  [tʃɔk] verb [transitive] [present tense I/you/we/they chalk he/she/it chalks present participle chalking past tense chalked past participle chalked]
    to write or draw something with chalk
        An X was chalked on the fence marking the spot.
        Thesaurus: to write somethingsynonym 
        Phrasal Verb: chalk something up",
592,"chameleon","英:/kə'miːlɪən/ 美:/kə'miljən/","chameleon UK  [kəˈmiːliən] US  [kəˈmiliən] noun [countable] [singular chameleon plural chameleons]
  1. a type of small lizard with skin that changes colour to match the colours around it 

      Thesaurus: reptiles, lizards, newts and amphibianshyponym 
  2. someone who changes their opinions, ideas, or behaviour to fit any situation
      Thesaurus: people who are considered weak, useless or unreliablesynonym",
593,"Chardonnay","/ˌʃɑ:dən'ei/","Chardonnay UK  [ˈʃɑː(r)dəneɪ] US  [ˌʃɑrdəˈneɪ] noun [countable/uncountable] [singular Chardonnay plural Chardonnays]
  a type of white wine, or the type of grape used to make it
      Thesaurus: wines and fortified wineshyponym general words for drinkssynonym",
594,"cheetah","英:/'tʃiːtə/ 美:/'tʃitə/","cheetah UK  [ˈtʃiːtə] US  [ˈtʃitə] noun [countable] [singular cheetah plural cheetahs]
  a large African wild animal that has yellow fur with black spots and can run extremely fast 

      Thesaurus: mammals found in africahyponym",
595,"Chimney","英:/'tʃɪmnɪ/ 美:/'tʃɪmni/","chimney UK  [ˈtʃɪmni] US  noun [countable] [singular chimney plural chimneys] ★
  a tube or passage that takes smoke from a fire up through a building and out through the roof
      Thesaurus: fireplace and chimneyhyponym 
    a. the part of a chimney, often made of bricks, that you can see on a roof
      Thesaurus: fireplace and chimneyhyponym",
596,"choir","英:/'kwaɪə/ 美:/'kwaɪɚ/","choir UK  [kwaɪə(r)] US  [kwaɪr] noun [countable] [singular choir plural choirs] ★
  1. a group of singers who perform together, for example in a church or school
      the church/​cathedral/​school choir
      choir practice
      in a choir: He sings in a church choir.
      Thesaurus: singershyponym to singsynonym 
  2. the part of a church where the choir sits
      Thesaurus: rooms and areas in religious buildingshyponym",
597,"chorizo","英:/tʃə'riːzəʊ/ 美:/tʃə'rizo/","chorizo UK  [tʃəˈriːzəʊ] US  [tʃəˈrizoʊ] noun [countable/uncountable] [singular chorizo plural chorizos]
  a type of sausage containing strong spices from Spain or Latin America
      Thesaurus: burgers and sausageshyponym",
598,"chorten","/'tʃɔːt(ə)n/","",
599,"Cinderella","英:/ˌsindəˈrelə/ 美:/ˌsɪndəˈrɛlə/","Cinderella UK  [ˌsɪndəˈrelə] US  noun [countable] usually singular [singular Cinderella plural Cinderellas]
      
      Etymology       
      Cinderella is the main character in a famous children’s story. She is a poor girl, badly treated by her stepsisters but, in the end, thanks to the power of magic, she is able to marry the rich attractive Prince Charming. 
  1. someone or something that has good qualities but is treated badly or ignored
      Primary education has long been the Cinderella of the education service.
      Thesaurus: people and things that are treated badlysynonym 
  2. only before noun relating to someone who suddenly becomes rich, famous, or successful
      Thesaurus: successful personsynonym",
600,"citadel","英:/'sɪtəd(ə)l/ 美:/ˈsɪtədəl/","citadel UK  [ˈsɪtəd(ə)l] US  UK  [ˈsɪtədel] US  [ˈsɪtəˌdel] noun [countable] [singular citadel plural citadels]
  1. a castle intended originally for the defence of a city, usually built on a high place
      Thesaurus: castles, towers and fortificationshyponym 
  2. literary a place that seems to represent all the important aspects of an idea, method, or practice
      citadel of: a citadel of learning
      Thesaurus: general words for location and placesynonym places of a particular typehyponym",
601,"citrus","英:/ˈsitrəs/ 美:/ˈsɪtrəs/","citrus UK  [ˈsɪtrəs] US  noun [countable] [singular citrus plural citruses]
  citrus variant citrus tree variant a tree that produces fruit such as oranges or lemons
      Thesaurus: treeshyponym types of treehypernym 
    a. only before noun relating to fruits such as oranges or lemons, or to the trees that produce them
      a citrus press
      a citrus orchard
      Thesaurus: types of fruithypernym fruitshyponym",
602,"clause","英:/klɔːz/ 美:/klɔːz/","clause UK  [klɔːz] US  [klɔz] noun [countable] [singular clause plural clauses] ★
  1. legal a part of a legal document or law that officially states that something must be done
      There is a clause in the contract requiring a fee to be paid if the holiday is cancelled.
      Thesaurus: law, laws and parts of lawshyponym legal documents and parts of legal documentshyponym 
  2. linguistics a group of words that includes a verb and a subject and is a sentence or a main part of a sentence
      Thesaurus: types and forms of word, clause or sentencehyponym",
603,"cleaver","英:/'kliːvə/ 美:/'klivɚ/","cleaver UK  [ˈkliːvə(r)] US  [ˈklivər] noun [countable] [singular cleaver plural cleavers]
  a knife with a large heavy blade used for cutting large pieces of meat
      Thesaurus: knives, forks and spoonshyponym",
604,"clue","英:/kluː/ 美:/klʊ/","▪ I. clue 1 UK  [kluː] US  [klu] noun [countable] [singular clue plural clues] ★★
    1. an object or fact that someone discovers that helps them solve a crime or mystery
        search for/​look for/​find a clue: Detectives were brought in to help search for clues.
        clue to/​as to/​about: Police still have no clues as to the identity of the killer.
        Thesaurus: crime detection and preventionhyponym 
      1a. a piece of information that helps explain a situation or provide a solution to a problem
        clue to/​as to/​about: His expressionless face gave her no clue as to what he was thinking.
        These writings provide clues to the crisis in Dickens’ private life.
        Thesaurus: general words for information, news and factssynonym 
        
        Collocations         
        Verbs frequently used with clue  1  as the object
        ▪   contain, give, hold, offer, provide, yield
    2. a word or phrase provided to help you find an answer in a crossword
        Thesaurus: quizzes, puzzles and guessing gameshyponym to perform an action in a card gamehyponym 
      2a. a word or phrase that helps you to guess another word or phrase
        ‘Know who I saw in town today?’ ‘Give me a clue.’
        Thesaurus: types of word or phrasehyponym 
        Phrase: not have a clue
▪ II. clue 2 UK  [kluː] US  [klu] verb [present tense I/you/we/they clue he/she/it clues present participle clueing past tense clued past participle clued]
        Phrasal Verb: clue in",
605,"clutch","英:/klʌtʃ/ 美:/klʌtʃ/","▪ I. clutch 1 UK  [klʌtʃ] US  verb [present tense I/you/we/they clutch he/she/it clutches present participle clutching past tense clutched past participle clutched] ★★
    [transitive] to hold someone or something firmly, for example because you are afraid or in pain, or do not want to lose them
        Women clutched small children as they left.
        Thesaurus: to hold something or someonesynonym to try to hold somethinghyponym 
      a. [intransitive] to try to take hold of someone or something because you are afraid or in pain, or in order to stop yourself from falling
        clutch at: An officer stumbled and clutched at the handrail.
        Thesaurus: to try to hold somethinghyponym to hold something or someonesynonym 
        See also: straw
▪ II. clutch 2 UK  [klʌtʃ] US  noun [singular clutch plural clutches] ★
    1. [countable] a piece of equipment in a vehicle that you press with your foot when you change gear 

        Thesaurus: equipment and systems in cars and other road vehicleshyponym 
    2. [singular] a firm hold that you have on someone or something, usually because you are afraid or in pain, or do not want to lose them
        Thesaurus: instances of touching, holding and physical contactsynonym 
    3. [countable] a set of eggs that a chicken produces at one time, or the chickens that come from those eggs
        Thesaurus: eggs and laying eggshyponym 
    4. clutches variant [plural] power or control that someone has over you that you want to escape from
        They fled the country to escape the clutches of the secret police.
        Thesaurus: power, authority, influence and leadershipsynonym 
    5. [countable] a small group of people or things
        This is the best of the recent clutch of political biographies.
        Thesaurus: small groups of peoplehyponym",
606,"clutter","英:/'klʌtə/ 美:/'klʌtɚ/","▪ I. clutter 1 UK  [ˈklʌtə(r)] US  [ˈklʌtər] verb [transitive] often passive [present tense I/you/we/they clutter he/she/it clutters present participle cluttering past tense cluttered past participle cluttered]
    to put too many things in a place so that it looks untidy
        His bedroom was cluttered with books and papers.
        Thesaurus: to make things untidysynonym 
      a. to put too many facts, pictures etc in something so that it becomes hard to understand
        Thesaurus: to be, or to make something, difficult to understandsynonym 
        Variant: clutter up
▪ II. clutter 2 UK  [ˈklʌtə(r)] US  [ˈklʌtər] noun [uncountable]
    the mess created when there are too many things in a place
        Thesaurus: untidiness and untidy situationssynonym",
607,"coaster","英:/'kəʊstə/ 美:/'kostɚ/","coaster UK  [ˈkəʊstə(r)] US  [ˈkoʊstər] noun [countable] [singular coaster plural coasters]
  1. a small flat object that you put under a cup to protect the table
      Thesaurus: in bars, pubs and clubshyponym 
  2. a ship that travels along the coast from one port to another carrying goods
      Thesaurus: types of sailing boat or shiphyponym 
  3. American a roller coaster
      Thesaurus: at the circus, amusement park or fairgroundhyponym",
608,"cockpit","英:/'kɒkpɪt/ 美:/'kɑkpɪt/","cockpit UK  [ˈkɒkˌpɪt] US  [ˈkɑkˌpɪt] noun [countable] [singular cockpit plural cockpits]
  1. the part of a plane where the pilot sits
      Thesaurus: parts of aircraftmeronym aircrafthyponym 
    1a. the part of a racing car where the driver sits
      Thesaurus: racing with cars and other vehicleshyponym sports events and competitionshyponym 
    1b. the part of a boat where the controls are
      Thesaurus: parts of boats and shipsmeronym types of boat or shiphyponym 
  2. a place where cockfights are held
      Thesaurus: hunting, shooting and fishing equipmenthyponym 
    2a. mainly journalism a place where there is fighting
      Thesaurus: places where war and fighting take placehyponym",
609,"Cockroach","英:/'kɒkrəʊtʃ/ 美:/'kɑk'rotʃ/","cockroach UK  [ˈkɒkrəʊtʃ] US  [ˈkɑkˌroʊtʃ] noun [countable] [singular cockroach plural cockroaches]
  an insect similar to a large beetle that lives in places where food is kept 

      Thesaurus: types of insecthyponym parts of insectsmeronym",
610,"coherent","英:/kə(ʊ)'hɪər(ə)nt/ 美:/ko'hɪrənt/","coherent UK  [kəʊˈhɪərənt] US  [koʊˈhɪrənt] adjective ★
  1. a coherent statement is reasonable and sensible
      Thesaurus: sensible and reasonablesynonym someone who is intelligent or well informedhyponym 
    1a. speaking in a way that is sensible and that people can understand
      Thesaurus: sensible and reasonablesynonym someone who is intelligent or well informedhyponym 
  2. in which all the different parts fit together in a sensible or pleasing way
      The writer presents this complex character as a coherent whole.
      Thesaurus: sensible and reasonablesynonym someone who is intelligent or well informedhyponym 
      Derived Word: coherently",
611,"collage","英:/'kɒlɑːʒ/ 美:/kə'lɑʒ/","collage UK  [ˈkɒlɑːʒ] US  [kɑˈlɑʒ] noun [singular collage plural collages]
  [countable] a picture made by sticking pieces of different materials together on a surface
      Thesaurus: specfic types of picture or work of arthyponym 
    a. [uncountable] the art of making collages
      Thesaurus: artistic activitieshyponym",
612,"collagen","英:/'kɒlədʒ(ə)n/ 美:/'kɑlədʒən/","collagen UK  [ˈkɒlədʒ(ə)n] US  [ˈkɑlədʒən] noun [uncountable]
  a type of protein that is often used in skin cream and in plastic surgery because it makes skin look younger
      Thesaurus: plastic surgeryhyponym",
